26/06/2023 16:12:37 - Erro ao inserir a linha 1, os dados já existem
26/06/2023 16:12:37 - Erro ao inserir a linha 2, os dados já existem
26/06/2023 16:12:37 - Erro ao inserir a linha 3, os dados já existem
26/06/2023 16:12:37 - Erro ao inserir a linha 4, os dados já existem
26/06/2023 16:12:37 - Erro ao inserir a linha 5, os dados já existem
26/06/2023 16:12:37 - Erro ao inserir a linha 6, os dados já existem
26/06/2023 16:12:37 - Erro ao inserir a linha 7, os dados já existem
26/06/2023 16:12:37 - Erro ao inserir a linha 8, os dados já existem
26/06/2023 16:12:37 - Erro ao inserir a linha 9, os dados já existem
26/06/2023 16:12:37 - Erro ao inserir a linha 10, os dados já existem
26/06/2023 16:12:37 - Erro ao inserir a linha 11, os dados já existem
26/06/2023 16:12:37 - Erro ao inserir a linha 12, os dados já existem
26/06/2023 16:12:37 - Erro ao inserir a linha 13, os dados já existem
26/06/2023 16:12:37 - Erro ao inserir a linha 14, os dados já existem
26/06/2023 16:12:37 - Erro ao inserir a linha 15, os dados já existem
26/06/2023 16:12:37 - Erro ao inserir a linha 16, os dados já existem
26/06/2023 16:12:37 - Erro ao inserir a linha 17, os dados já existem
26/06/2023 16:12:37 - Erro ao inserir a linha 18, os dados já existem
26/06/2023 16:12:38 - Erro ao inserir a linha 19, os dados já existem
26/06/2023 16:12:38 - Erro ao inserir a linha 20, os dados já existem
26/06/2023 16:12:38 - Erro ao inserir a linha 21, os dados já existem
26/06/2023 16:12:38 - Erro ao inserir a linha 22, os dados já existem
26/06/2023 16:12:38 - Erro ao inserir a linha 23, os dados já existem
26/06/2023 16:12:38 - Erro ao inserir a linha 24, os dados já existem
26/06/2023 16:12:38 - Erro ao inserir a linha 25, os dados já existem
26/06/2023 16:12:38 - Erro ao inserir a linha 26, os dados já existem
26/06/2023 16:12:38 - Erro ao inserir a linha 27, os dados já existem
26/06/2023 16:12:38 - Erro ao inserir a linha 28, os dados já existem
26/06/2023 16:12:38 - Erro ao inserir a linha 29, os dados já existem
26/06/2023 16:12:38 - Erro ao inserir a linha 30, os dados já existem
26/06/2023 16:12:38 - Erro ao inserir a linha 31, os dados já existem
26/06/2023 16:12:38 - Erro ao inserir a linha 32, os dados já existem
26/06/2023 16:12:38 - Erro ao inserir a linha 33, os dados já existem
26/06/2023 16:12:38 - Erro ao inserir a linha 34, os dados já existem
26/06/2023 16:12:38 - Erro ao inserir a linha 35, os dados já existem
26/06/2023 16:12:38 - Erro ao inserir a linha 36, os dados já existem
